mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[0.06481482902610744,-0.3185185100193377,-0.04444437534720725,0.26388890606661636,-0.30277776904404163]","[0.275925922586962,0.3546296274634423,-0.03148148940117271,-0.005555563088920381,-0.3138889010167784]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.0339999198913574,2.066999912261963,2.950000047683716,4.082000017166138,5.0309998989105225]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,caro,2020-05-23_15h27.14.243,corsi,3.1.3,60
"[0.2981481658363784,0.2935185361377619,-0.009259246151756358,0.35092605742867516,-0.04166665404207177]","[-0.01759260030532325,-0.2833333450059096,0.3425925902470394,0.2879629598033649,-0.34722223484681713]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.8840000629425049,1.633000135421753,3.365999937057495,4.216000080108643,5.265000104904175]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,caro,2020-05-23_15h27.14.243,corsi,3.1.3,60
"[-0.22222221228811476,0.020370440433423568,0.3370371683328257,-0.009259246151756358,0.3148148327513977]","[-0.02037037812449314,0.24444444063636991,0.030555548560288217,-0.32870371605235116,0.2962962932608746]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.9489998817443848,1.7660000324249268,2.4819998741149902,3.2149999141693115,4.514999866485596]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,caro,2020-05-23_15h27.14.243,corsi,3.1.3,60
"[-0.29166665776736206,0.3416667980314422,0.02962969983065654,0.27870372110218916,-0.3064814728029348]","[0.3314814789703599,-0.2583333446333806,0.038888882017797895,-0.010185192787536868,-0.015740748425876652]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.3499999046325684,2.7330000400543213,3.4820001125335693,4.131999969482422,5.081000089645386]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,caro,2020-05-23_15h27.14.243,corsi,3.1.3,60
"[-0.034259246524285386,-0.06111109877626101,0.368518537255349,0.28240742486108233,-0.29537036152625523]","[0.0009259184891427005,-0.33518525414444866,0.27314814476779214,-0.31111112319760853,0.2592592556719427]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.5490000247955322,1.1989998817443848,2.3320000171661377,3.4149999618530273,4.365000009536743]","[""blk2"",""blk1"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,caro,2020-05-23_15h27.14.243,corsi,3.1.3,60
