mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[0.28633883761577916,0.33224047832801695,-0.03606554357731929,0.05464490834481277,-0.27213112438311343]","[0.3131147485287463,-0.015847043261502953,0.2617486101030647,-0.049726792339418756,0.3426229461294706]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.4500000476837158,2.181999921798706,2.871000051498413,3.4639999866485596,4.096999883651733]","[""blk1"",""blk2"",""blk3"",""blk5"",""blk4""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,3533,2020-09-27_13h15.27.413,corsi,3.1.3,60
"[0.07978145441070932,0.3519126100618331,0.3377049593651881,0.00546457901027232,-0.30382511439870613]","[0.03551911184045135,-0.3546449009186603,-0.34590166455409566,-0.2923498170949091,0.03114752701071442]","[1,0,1,1,1]","[0,0,0,0,0]","[0,1,0,0,0]","[0.8829998970031738,1.7669999599456787,3.0970001220703125,3.796999931335449,4.480000019073486]","[""blk1"",""blk2"",""blk2"",""blk3"",""blk4""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,3533,2020-09-27_13h15.27.413,corsi,3.1.3,60
"[0.2743169793340026,-0.33879779303660157,0.04153015385560198,-0.29071035990949534,-0.015300515636068875,-0.015300515636068875,0.0251367107440885]","[0.030054597450734796,-0.248633902092449,-0.3284153919402387,-0.054098377169155686,0.3273223825491186,0.3273223825491186,0.3240436939268159]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[0.4159998893737793,1.8819999694824219,2.5809998512268066,3.1480000019073486,3.799999952316284,4.485999822616577,5.07099986076355]","[""blk1"",""blk2"",""blk3"",""blk5"",""blk4""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,3533,2020-09-27_13h15.27.413,corsi,3.1.3,60
"[-0.024043618590451947,0.34535523281722774,-0.22732237987830992,0.28633883761577916,-0.31803276509535117]","[0.3262295030179571,-0.3273224290277137,-0.23442625139580398,0.04207648908505674,-0.011475425079220631]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.4510002136230469,1.565999984741211,2.236999988555908,2.8540000915527344,3.4700000286102295]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,3533,2020-09-27_13h15.27.413,corsi,3.1.3,60
"[-0.31256828405818,0.00546457901027232,0.24699457414814682,0.001092927475444606,-0.3486338589035097]","[0.02131146114380633,-0.008196736456917935,0.30218578645440397,-0.2693989967387902,-0.3437158721392272]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.3400001525878906,0.9070000648498535,1.5230000019073486,2.1710000038146973,2.7209999561309814]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,3533,2020-09-27_13h15.27.413,corsi,3.1.3,60
