mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[0.33984375,-0.2890625,0.2760416666666667,0.016927083333333332,-0.25390625]","[-0.3138020833333333,-0.3046875,0.3697916666666667,-0.28125,0.2916666666666667]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.2380001544952393,2.490999937057495,3.377000093460083,4.380000114440918,5.400000095367432]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,0408,2020-09-29_10h05.27.122,corsi,3.1.3,60
"[-0.3020833333333333,0.05078125,0.048177083333333336,-0.23177083333333334,0.03125,-0.2825520833333333]","[0.2591145833333333,0.3151041666666667,0.23958333333333334,0.037760416666666664,-0.0013020833333333333,-0.3294270833333333]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.303999900817871,1.9900000095367432,2.8589999675750732,3.8450000286102295,4.480999946594238,5.299999952316284]","[""blk2"",""blk1"",""blk4"",""blk3"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,0408,2020-09-29_10h05.27.122,corsi,3.1.3,60
"[-0.24739583333333334,-0.3229166666666667,-0.27734375,0.25390625,0.2747395833333333,-0.026041666666666668]","[-0.3268229166666667,-0.36328125,0.3567708333333333,-0.24479166666666666,0.2643229166666667,-0.020833333333333332]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.1540000438690186,2.240000009536743,3.2929999828338623,4.363000154495239,5.315999984741211,6.302000045776367]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,0408,2020-09-29_10h05.27.122,corsi,3.1.3,60
"[0.2786458333333333,0.2669270833333333,0.015625,-0.2799479166666667,-0.3255208333333333,-0.01953125]","[-0.22395833333333334,0.28125,-0.06510416666666667,0.23567708333333334,0.28515625,-0.234375]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.187000036239624,2.0889999866485596,3.0920000076293945,3.794999837875366,4.546999931335449,5.448999881744385]","[""blk1"",""blk2"",""blk4"",""blk3"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,0408,2020-09-29_10h05.27.122,corsi,3.1.3,60
"[-0.059895833333333336,-0.010416666666666666,0.21875,-0.24088541666666666,0.3450520833333333,0.3125]","[0.033854166666666664,0.005208333333333333,-0.009114583333333334,0.2903645833333333,-0.3255208333333333,0.3411458333333333]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.5179998874664307,1.2039999961853027,1.9229998588562012,3.125999927520752,4.0959999561309814,5.248999834060669]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,0408,2020-09-29_10h05.27.122,corsi,3.1.3,60
