mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[0.34861114799148507,-0.0018518254160881042,0.00694447114235825,-0.019444418532980814,0.33472225868867506]","[-0.28101859830871945,0.24675925171209706,-0.027314830530020925,-0.23379637467916534,-0.008333348482847214]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[2.1529998779296875,2.7860000133514404,3.236999988555908,3.6369998455047607,4.353999853134155]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,a,2020-06-15_22h35.50.501,corsi,3.1.3,60
"[-0.007870287599937202,0.2736111457563109,-0.29861109351946247,0.34861114799148507,0.3444444812006421]","[0.2787036829800513,-0.03287038625114494,-0.008796311459607548,-0.3050926165862216,0.3106481283765144]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.8690001964569092,2.319000005722046,2.870000123977661,3.4040000438690186,3.937000036239624]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,a,2020-06-15_22h35.50.501,corsi,3.1.3,60
"[-0.28749998207721444,-0.34305553928845456,-0.34166665035817356,-0.30740739007790885,0.06388891728387938,0.2736111457563109,0.31898151747882364]","[0.27592590511948933,-0.2814815047714445,-0.29351859868124847,-0.31990748835658755,0.34027777301768464,-0.36574082305586064,0.3222222169240316]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[1.5350000858306885,2.0190000534057617,2.302999973297119,2.8359999656677246,3.4200000762939453,3.937000036239624,4.455000162124634]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,a,2020-06-15_22h35.50.501,corsi,3.1.3,60
"[-0.28981479696101614,-0.03425917727527627,0.28657410910560027,-0.014351825788617134,0.31481485068798065]","[-0.01435186718073156,-0.2643519311453474,0.017592578215731514,-0.015740756111012565,-0.35416669212281704]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.4010000228881836,1.9010000228881836,2.3519999980926514,2.7849998474121094,3.302000045776367]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,a,2020-06-15_22h35.50.501,corsi,3.1.3,60
