mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[0.34907409252115973,-0.3546296216685463,0.07129631060417052,-0.2842592502495757,0.27314816546384935]","[-0.3222222344742881,-0.33981488384306513,-0.03888889691895909,-0.02037037812449314,0.014814807584992162]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6990001201629639,1.5180001258850098,2.0850000381469727,2.818000078201294,3.6019999980926514]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,2923,2020-09-24_13h50.59.413,corsi,3.1.3,60
"[-0.2453703607811972,-0.2518518423592603,-0.03888887622290187,0.23611112787491745,0.24537038727215044,0.23888890569408736,0.26203705418716977]","[-0.028703711582002817,-0.26388890027172035,-0.05000000819563866,0.2805555522855785,0.3185185158142337,-0.3425926051482006,-0.3546296423646035]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[0.40000009536743164,0.9340000152587891,1.433000087738037,1.9670000076293945,2.500999927520752,3.138000011444092,3.7049999237060547]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,2923,2020-09-24_13h50.59.413,corsi,3.1.3,60
"[0.33796298124448015,0.3416667980314422,0.06481482902610744,-0.27407406491261943,0.3212963143294608,0.27407409140357264]","[-0.06296297135176482,0.2888888716145796,-0.028703711582002817,0.02314814104250184,-0.36388890176183647,-0.334259271690691]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.5829999446868896,1.119999885559082,1.8009998798370361,2.3540000915527344,2.953000068664551,3.434000015258789]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,2923,2020-09-24_13h50.59.413,corsi,3.1.3,60
"[-0.23425919299048323,-0.2712962305794151,0.2879629804994221,0.3222222402691841,-0.28518511967526455]","[0.2833333301047484,-0.2888889571582838,-0.05925926759287163,-0.2564815492679684,-0.07500000856816769]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.46700000762939453,1.0509998798370361,1.6510000228881836,2.2679998874664307,3.1519999504089355]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,2923,2020-09-24_13h50.59.413,corsi,3.1.3,60
"[0.006481551337574105,0.222222238779068,0.28148149892135904,-0.3898148073780316,0.04537038429191819,0.2509259429104902]","[0.009259251946652378,0.26296295943083586,0.3342592567895298,0.285185181984195,-0.30000001192092896,-0.32962964199207445]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.4159998893737793,1.9690001010894775,2.3529999256134033,2.885999917984009,3.4700000286102295,3.9029998779296875]","[""blk2"",""blk3"",""blk1"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,2923,2020-09-24_13h50.59.413,corsi,3.1.3,60
