mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[-0.28703702290852867,-0.2351851569281684,-0.2833333333333333,0.2861111111111111,0.26944444444444443]","[0.030555555555555555,0.016666666666666666,0.2824074003431532,0.025,0.2629629558987088]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.8330001831054688,1.4860000610351562,2.0850000381469727,2.884999990463257,3.251000165939331]","[""blk1"",""blk1"",""blk2"",""blk3"",""blk4""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,xxx,2020-09-08_09h13.03.159,corsi,3.1.3,60
"[0.31203706529405384,0.275,-0.015740712483723957,-0.24722222222222223,-0.23425924513075086]","[0.2638888888888889,-0.31574079725477433,0.29814813401963974,0.30185184478759763,-0.36759262084960936]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6489999294281006,1.1359999179840088,1.6679999828338623,2.0350000858306885,2.5339999198913574]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,xxx,2020-09-08_09h13.03.159,corsi,3.1.3,60
"[0.03240746392144097,-0.3101851569281684,0.3398148430718316,-0.0064814249674479164,-0.03888888888888889]","[0.27037035624186195,-0.3425926208496094,-0.3185185750325521,-0.2768519083658854,-0.021296310424804687]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.4369997978210449,0.9699997901916504,1.36899995803833,2.185999870300293,2.4529998302459717]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,xxx,2020-09-08_09h13.03.159,corsi,3.1.3,60
"[0.28796301947699654,-0.2851851569281684,0.33425928751627604,-0.041666666666666664,-0.3]","[0.0009259117974175347,-0.010185199313693577,0.24722222222222223,0.2638888888888889,0.335185178120931]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.5280001163482666,0.8980000019073486,1.2320001125335693,1.6150000095367432,1.9320001602172852]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,xxx,2020-09-08_09h13.03.159,corsi,3.1.3,60
"[-0.26203702290852865,0.2916666666666667,0.3509259541829427,-0.3472222222222222,0.2629630194769965]","[0.3009259117974175,-0.2731481764051649,-0.046296310424804685,-0.33518524169921876,0.34444444444444444]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.5289998054504395,1.0319998264312744,1.3989999294281006,1.7319998741149902,2.115000009536743]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,xxx,2020-09-08_09h13.03.159,corsi,3.1.3,60
