sequence,blockDuration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,session,participant,date,expName,psychopyVersion,frameRate,
"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,0,0,0,0,"[-0.05648148148148148, 0.026851851851851852, 0.18425925925925926, -0.2916666666666667, 0.32685185185185184, -0.24444444444444444]","[-0.30185185185185187, 0.11574074074074074, 0.17314814814814813, -0.10925925925925926, 0.2, -0.0787037037037037]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.26769040001090616, 0.7682760000461712, 1.0687049999833107, 1.5357890999875963, 2.2696404999587685, 2.7537084000650793]","['blk1', 'blk2', 'blk4', 'blk3', 'blk5']",001,,2018_Nov_29_1207,corsi,3.0.0b12,60.00117601803466,
"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,1,0,1,0,"[-0.06111111111111111, -0.12962962962962962, 0.0787037037037037, -0.3296296296296296, 0.3148148148148148, 0.3814814814814815]","[-0.2564814814814815, -0.028703703703703703, -0.2574074074074074, -0.009259259259259259, -0.30925925925925923, -0.32407407407407407]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.21765670005697757, 0.48499410005752, 0.8018124999944121, 1.2187260000500828, 1.669190000044182, 1.8862523999996483]","['blk1', 'blk5', 'blk3', 'blk2', 'blk4']",001,,2018_Nov_29_1207,corsi,3.0.0b12,60.00117601803466,
