mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[-0.2712962962962963,-0.24166666666666667,0.27314814814814814,-0.000925925925925926,0.35833333333333334]","[0.2898148148148148,-0.2601851851851852,-0.03518518518518519,-0.2601851851851852,0.3111111111111111]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.1510000228881836,1.9070000648498535,2.6579999923706055,3.072999954223633,3.5959999561309814]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1239,2020-06-23_17h59.15.107,corsi,3.1.3,60
"[0.01574074074074074,0.3333333333333333,0.09537037037037037,0.05277777777777778,-0.28888888888888886,-0.24814814814814815]","[-0.25092592592592594,-0.2638888888888889,-0.044444444444444446,-0.03425925925925926,-0.004629629629629629,0.2388888888888889]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.940000057220459,1.3900001049041748,1.878999948501587,2.0940001010894775,2.7130000591278076,3.131999969482422]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1239,2020-06-23_17h59.15.107,corsi,3.1.3,60
"[0.2833333333333333,-0.30648148148148147,0.006481481481481481,-0.049074074074074076,-0.024074074074074074,0.3611111111111111]","[0.2861111111111111,-0.041666666666666664,-0.03981481481481482,-0.33240740740740743,-0.2851851851851852,-0.31851851851851853]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.6040000915527344,1.2220001220703125,1.878000020980835,2.261000156402588,2.998000144958496,3.5329999923706055]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1239,2020-06-23_17h59.15.107,corsi,3.1.3,60
"[0.062037037037037036,0.3,0.24351851851851852,-0.3453703703703704,-0.30648148148148147]","[-0.31203703703703706,-0.07314814814814814,-0.2675925925925926,-0.29814814814814816,-0.025]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.16700005531311035,0.6180000305175781,1.0209999084472656,1.6569998264312744,2.0439999103546143]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1239,2020-06-23_17h59.15.107,corsi,3.1.3,60
"[-0.23425925925925925,0.31296296296296294,-0.34074074074074073,0.3314814814814815,0.020370370370370372]","[-0.32407407407407407,0.016666666666666666,0.2935185185185185,0.3398148148148148,-0.005555555555555556]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.5729999542236328,1.2890000343322754,1.943000078201294,2.611999988555908,3.302999973297119]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1239,2020-06-23_17h59.15.107,corsi,3.1.3,60
