mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[-0.30185185185185187,-0.006481481481481481,-0.21944444444444444,0.29814814814814816,0.07685185185185185,0.03981481481481482]","[0.2972222222222222,0.3277777777777778,-0.3425925925925926,-0.3453703703703704,-0.30648148148148147,-0.31851851851851853]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.4330000877380371,0.8659999370574951,1.5829999446868896,2.0829999446868896,2.632999897003174,3.0329999923706055]","[""blk1"",""blk2"",""blk5"",""blk4"",""blk3""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1234,2020-05-13_21h22.19.338,corsi,3.1.3,60
"[0.29074074074074074,0.33240740740740743,-0.25925925925925924,-0.0712962962962963,0.325]","[-0.30092592592592593,0.2462962962962963,-0.3194444444444444,-0.2833333333333333,-0.03148148148148148]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.48200011253356934,1.065000057220459,1.7160000801086426,2.1650002002716064,2.865000009536743]","[""blk2"",""blk1"",""blk3"",""blk5"",""blk4""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1234,2020-05-13_21h22.19.338,corsi,3.1.3,60
"[0.30925925925925923,-0.29259259259259257,-0.020370370370370372,-0.2175925925925926,0.05]","[0.3194444444444444,0.04351851851851852,-0.337037037037037,-0.3453703703703704,-0.003703703703703704]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.0160000324249268,1.682999849319458,2.1989998817443848,2.5989999771118164,3.1669998168945312]","[""blk1"",""blk3"",""blk5"",""blk4"",""blk2""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1234,2020-05-13_21h22.19.338,corsi,3.1.3,60
"[0.013888888888888888,-0.2537037037037037,0.29074074074074074,0.017592592592592594,-0.2796296296296296]","[0.024074074074074074,-0.3101851851851852,-0.05185185185185185,0.2462962962962963,0.3388888888888889]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.1809999942779541,0.8310000896453857,1.3310000896453857,1.8310000896453857,2.246999979019165]","[""blk1"",""blk3"",""blk2"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1234,2020-05-13_21h22.19.338,corsi,3.1.3,60
"[0.2537037037037037,-0.38055555555555554,-0.2759259259259259,-0.003703703703703704,0.008333333333333333]","[0.22592592592592592,-0.004629629629629629,0.24351851851851852,-0.04351851851851852,-0.27870370370370373]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.564000129699707,1.0799999237060547,1.496999979019165,1.9140000343322754,2.364000082015991]","[""blk4"",""blk2"",""blk3"",""blk1"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1234,2020-05-13_21h22.19.338,corsi,3.1.3,60
