mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[0.350000018460883,-0.22037030389463375,-0.3453703622713133,-0.034259246524285386,-0.36759258482467244]","[0.032407400439734814,-0.3203703825948415,-0.0333333412806193,-0.2444444555375311,0.30185184889921435]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[2.569999933242798,4.4730000495910645,5.463000059127808,6.578000068664551,7.888000011444092]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1001,2020-09-25_23h19.55.157,corsi,3.1.3,60
"[-0.001851838633969978,0.35092605742867516,0.3324075386342092,0.2981481658363784,-0.3435185103918667,0.024074087678282348]","[0.3444444279979774,-0.04074074879840568,0.011111103826098971,-0.3490741432402981,-0.31111112319760853,-0.3194444566551182]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[2.0220000743865967,3.1010000705718994,3.8929998874664307,4.878999948501587,6.142999887466431,7.197000026702881]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1001,2020-09-25_23h19.55.157,corsi,3.1.3,60
"[0.3212963143294608,0.0055555688838164015,0.02685186549745224,-0.33240739911518713,-0.3055555468632115]","[-0.019444452184769843,0.0370370301383513,-0.3231481604140114,-0.01296297060670676,-0.3175926047756716]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[2.243000030517578,3.4790000915527344,4.363000154495239,5.33899998664856,6.248000144958496]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1001,2020-09-25_23h19.55.157,corsi,3.1.3,60
"[-0.06851850629404739,0.24722223915159702,-0.24814808208633268,0.025000070132040055,-0.31944443595906097]","[0.027777770741118327,-0.29907408598120566,-0.26481482621144364,-0.2564815492679684,0.30370370077866093]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[2.2960000038146973,3.447000026702881,5.835000038146973,6.658999919891357,10.401000022888184]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1001,2020-09-25_23h19.55.157,corsi,3.1.3,60
"[0.2962963139569318,0.31203705493222783,0.31851864953835973,-0.014814801790096142,-0.30925925062210474]","[0.09537036434091904,0.2592592556719427,-0.3231481604140114,0.29351850131319607,-0.0333333412806193]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.1470000743865967,2.069999933242798,3.2699999809265137,4.5290000438690186,5.593999862670898]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1001,2020-09-25_23h19.55.157,corsi,3.1.3,60
