sequence,blockDuration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,session,participant,date,expName,psychopyVersion,frameRate,
"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,0,0,0,0,"[-0.13518518518518519, -0.175, -0.35, 0.2574074074074074, 0.05740740740740741]","[-0.21296296296296297, -0.29074074074074074, -0.2796296296296296, -0.29814814814814816, 0.28703703703703703]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.38491020002402365, 0.7684487999649718, 1.0521525000222027, 1.7197723999852315, 2.3034573000622913]","['blk1', 'blk5', 'blk2', 'blk4', 'blk3']",001,,2018_Nov_29_1205,corsi,3.0.0b12,59.9431619076971,
"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,1,0,1,0,"[-0.3388888888888889, 0.15925925925925927, 0.13148148148148148, -0.15092592592592594, 0.325, 0.29814814814814816]","[-0.06388888888888888, 0.2740740740740741, -0.10185185185185185, 0.18333333333333332, 0.16111111111111112, 0.15092592592592594]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.3512433000141755, 1.0188373000128195, 1.4193198999855667, 1.8360319000203162, 2.2864569999510422, 2.570233599981293]","['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",001,,2018_Nov_29_1205,corsi,3.0.0b12,59.9431619076971,
"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,2,0,2,0,"[0.29259259259259257, -0.0787037037037037, -0.4074074074074074, -0.3277777777777778, 0.049074074074074076, -0.41574074074074074]","[0.19907407407407407, -0.026851851851851852, 0.05, 0.020370370370370372, 0.053703703703703705, -0.06851851851851852]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.23435129993595183, 0.7516630999743938, 1.0853965999558568, 1.3856136000249535, 2.002758999937214, 2.4534359999233857]","['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",001,,2018_Nov_29_1205,corsi,3.0.0b12,59.9431619076971,
"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,3,0,3,0,"[-0.05648148148148148, -0.1111111111111111, 0.002777777777777778, -0.006481481481481481, 0.38333333333333336]","[-0.1259259259259259, -0.17962962962962964, 0.10833333333333334, 0.03148148148148148, -0.12407407407407407]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.18419679999351501, 0.6348165000090376, 1.0015474999090657, 1.3355485999491066, 1.9531590999104083]","['blk1', 'blk1', 'blk5', 'blk4', 'blk2']",001,,2018_Nov_29_1205,corsi,3.0.0b12,59.9431619076971,
"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,4,0,4,0,"[-0.05925925925925926, -0.18981481481481483, -0.17962962962962964, -0.02962962962962963, 0.3611111111111111]","[0.25277777777777777, 0.08796296296296297, 0.2740740740740741, -0.3175925925925926, -0.3972222222222222]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.5516384000657126, 0.9198034000582993, 1.2854582000290975, 1.9692807000828907, 2.553213300067]","['blk2', 'blk3', 'blk5', 'blk1', 'blk4']",001,,2018_Nov_29_1205,corsi,3.0.0b12,59.9431619076971,
