mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[-0.07291666666666667,-0.2955729166666667,0.24869791666666666,-0.25,-0.0234375]","[0.3151041666666667,-0.3385416666666667,0.009114583333333334,0.28125,-0.032552083333333336]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.20000004768371582,1.0310001373291016,2.0310001373291016,4.930000066757202,7.647000074386597]","[""blk3"",""blk4"",""blk5"",""blk1"",""blk2""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1616,2020-09-27_22h49.09.061,corsi,3.1.3,60
"[-0.009114583333333334,0.31640625,-0.3033854166666667,-0.2981770833333333,-0.33203125]","[0.08072916666666667,-0.033854166666666664,-0.014322916666666666,-0.2526041666666667,0.2877604166666667]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.9340000152587891,2.0829999446868896,3.0340001583099365,3.9160001277923584,4.865000009536743]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1616,2020-09-27_22h49.09.061,corsi,3.1.3,60
"[-0.24088541666666666,0.2643229166666667,0.3190104166666667,0.015625,0.06640625]","[0.3450520833333333,0.053385416666666664,-0.328125,0.0013020833333333333,0.3046875]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.2840001583099365,1.5,2.4660000801086426,3.5330002307891846,4.433000087738037]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1616,2020-09-27_22h49.09.061,corsi,3.1.3,60
"[0.049479166666666664,-0.013020833333333334,-0.3046875,0.0013020833333333333,0.34765625]","[0.044270833333333336,-0.26953125,-0.27734375,0.24609375,-0.036458333333333336]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6980001926422119,1.6640000343322754,2.6460001468658447,3.745000123977661,4.713000059127808]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1616,2020-09-27_22h49.09.061,corsi,3.1.3,60
"[-0.2916666666666667,0.31640625,0.3125,0.036458333333333336,-0.2630208333333333]","[-0.2994791666666667,0.28515625,-0.3255208333333333,-0.2877604166666667,0.3020833333333333]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6679999828338623,1.8310000896453857,2.796999931335449,3.930000066757202,4.996999979019165]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1616,2020-09-27_22h49.09.061,corsi,3.1.3,60
