sequence,blockDuration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,session,participant,date,expName,psychopyVersion,frameRate,
"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,0,0,0,0,-0.31666666666666665,0.26944444444444443,1,0,0,0.8178126000566408,blk1,001,,2018_Nov_29_1203,corsi,3.0.0b12,60.00380421427165,
"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,1,0,1,0,-0.2064814814814815,0.2388888888888889,1,0,0,0.7678575998870656,blk1,001,,2018_Nov_29_1203,corsi,3.0.0b12,60.00380421427165,
