mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[-0.011111111111111112,0.03148148148148148,-0.2796296296296296,-0.003703703703703704,0.24166666666666667]","[-0.2361111111111111,-0.03611111111111111,0.3435185185185185,0.2953703703703704,-0.29259259259259257]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.43400001525878906,0.8499999046325684,1.3840000629425049,1.8229999542236328,2.321000099182129]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,hb,2020-08-28_18h50.52.863,corsi,3.1.3,60
"[-0.004629629629629629,0.3055555555555556,-0.025925925925925925,-0.2759259259259259,0.3037037037037037]","[0.32314814814814813,0.3175925925925926,0.001851851851851852,-0.3416666666666667,0.01574074074074074]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.36700010299682617,0.8300001621246338,1.380000114440918,1.8630001544952393,2.2800002098083496]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,hb,2020-08-28_18h50.52.863,corsi,3.1.3,60
"[0.03333333333333333,-0.2824074074074074,-0.36018518518518516,0.06944444444444445,0.3314814814814815]","[-0.32592592592592595,0.2212962962962963,-0.3435185185185185,0.03796296296296296,-0.3148148148148148]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.25099992752075195,0.6679999828338623,1.116999864578247,1.5169999599456787,2.0169999599456787]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,hb,2020-08-28_18h50.52.863,corsi,3.1.3,60
"[-0.011111111111111112,0.33240740740740743,-0.09444444444444444,-0.26944444444444443,-0.2490740740740741]","[0.28703703703703703,0.04259259259259259,-0.03981481481481482,0.023148148148148147,-0.36666666666666664]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.3320000171661377,0.6990001201629639,1.0490000247955322,1.3660001754760742,1.815999984741211]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,hb,2020-08-28_18h50.52.863,corsi,3.1.3,60
"[-0.25925925925925924,-0.33240740740740743,0.125,0.019444444444444445,0.08425925925925926,0.35462962962962963]","[-0.3,0.2935185185185185,0.3398148148148148,0.31574074074074077,-0.2861111111111111,0.3111111111111111]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.21499991416931152,0.5819997787475586,0.9489998817443848,1.0819997787475586,1.5319998264312744,1.998999834060669]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,hb,2020-08-28_18h50.52.863,corsi,3.1.3,60
