mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[-0.2842592502495757,-0.3185185100193377,-0.33888888069325024,0.3055555733541648,-0.010185172091479655]","[0.01574073352471546,0.2898148116828115,-0.26481482621144364,0.028703696680841623,-0.3555555683043268]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.2009999752044678,1.9839999675750732,2.7829999923706055,3.4670000076293945,4.183000087738037]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,xgf,2020-05-14_11h13.10.245,corsi,3.1.3,60
"[-0.00462961645313987,-0.29814813934542517,-0.006481468332586465,0.06666668090555403,0.23796297975436406]","[0.24814814439526311,0.27407407070751544,0.01203702976582227,-0.2444444555375311,-0.2787037153072931]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.432999849319458,2.0169999599456787,2.6499998569488525,3.1499998569488525,3.565999984741211]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,xgf,2020-05-14_11h13.10.245,corsi,3.1.3,60
"[0.24444446133242714,-0.011111098031202951,-0.33055554723574054,0.31018520305278124,-0.06388887659543091]","[0.30185184889921435,-0.34722223484681713,-0.025925933762832924,-0.2592592705731039,0.32870370115118996]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.4500000476837158,1.1499998569488525,1.7660000324249268,2.450000047683716,3.0160000324249268]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,xgf,2020-05-14_11h13.10.245,corsi,3.1.3,60
"[0.021296309859112458,0.2555555726091067,-0.059259246896814416,-0.2870370280687456,0.29907409177610167]","[0.0037036963083125927,-0.34722223484681713,0.3435185161867627,-0.3546296423646035,-0.007407414968366976]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6830000877380371,1.2660000324249268,1.8819999694824219,2.615000009536743,3.2820000648498535]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,xgf,2020-05-14_11h13.10.245,corsi,3.1.3,60
"[-0.30092591716459505,0.017592606100219267,-0.035185115949974276,0.2879629804994221,-0.2518518423592603]","[-0.05185186007508525,-0.33611112357013756,0.26944444100889897,0.3342592567895298,-0.28148149312646303]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.46700000762939453,1.1159999370574951,1.7330000400543213,2.2660000324249268,3.0329999923706055]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,xgf,2020-05-14_11h13.10.245,corsi,3.1.3,60
