mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[-0.30859375,0.006510416666666667,0.2513020833333333,-0.3450520833333333,0.30078125]","[0.28125,0.23697916666666666,-0.3216145833333333,-0.28515625,-0.005208333333333333]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.01900005340576172,0.5509998798370361,1.11899995803833,1.5529999732971191,1.9679999351501465]","[""blk5"",""blk1"",""blk2"",""blk3"",""blk4""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,,2020-09-27_05h16.51.508,corsi,3.1.3,60
"[0.26953125,0.041666666666666664,-0.010416666666666666,-0.044270833333333336,-0.2786458333333333,0.24869791666666666,0.3411458333333333]","[0.24609375,0.05078125,-0.2421875,0.07552083333333333,-0.03515625,-0.2760416666666667,-0.3203125]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[0.2839999198913574,0.935999870300293,1.2689998149871826,1.5859999656677246,2.001999855041504,2.384999990463257,2.5839998722076416]","[""blk1"",""blk3"",""blk2"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,,2020-09-27_05h16.51.508,corsi,3.1.3,60
"[0.3098958333333333,0.3098958333333333,0.3098958333333333,0.3098958333333333,0.3268229166666667]","[0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,-0.3359375]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.13300013542175293,0.3320000171661377,0.48399996757507324,0.6500000953674316,1.065999984741211]","[""blk1"",""blk1"",""blk1"",""blk1"",""blk2""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,,2020-09-27_05h16.51.508,corsi,3.1.3,60
"[-0.0546875,0.18489583333333334,0.20703125,0.2708333333333333,0.2721354166666667,-0.053385416666666664,0.078125,0.036458333333333336,0.33203125,0.2981770833333333,-0.33203125]","[-0.2890625,0.0026041666666666665,0.032552083333333336,0.20963541666666666,0.2942708333333333,0.27734375,0.23697916666666666,0.30078125,-0.009114583333333334,-0.009114583333333334,-0.3072916666666667]","[1,1,1,1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0]","[0.38299989700317383,0.7649998664855957,1.0489997863769531,1.3999998569488525,1.6319999694824219,1.8659999370574951,2.0839998722076416,2.383999824523926,2.7159998416900635,2.998999834060669,3.567999839782715]","[""blk1"",""blk4"",""blk3"",""blk2"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,,2020-09-27_05h16.51.508,corsi,3.1.3,60
"[-0.09114583333333333,-0.06510416666666667,-0.2955729166666667,-0.2643229166666667,-0.2669270833333333,0.3046875,0.3072916666666667]","[-0.2708333333333333,-0.28125,-0.048177083333333336,0.2552083333333333,0.3111979166666667,0.30078125,-0.0013020833333333333]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[0.5839998722076416,0.8509998321533203,1.2839999198913574,1.75,2,2.632999897003174,3.0850000381469727]","[""blk1"",""blk3"",""blk4"",""blk2"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,,2020-09-27_05h16.51.508,corsi,3.1.3,60
