mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[-0.056509681107925244,0.2681440633419808,-0.03656501484379443,-0.23601100119527257,0.300277027809719]","[0.32216064526268623,0.2722991486748167,-0.026869813945154735,0.2590027664919639,-0.2828254964295517]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[8.365000000000002,9.065999999999999,9.731000000000002,10.280000000000001,10.964000000000002]","[""blk3"",""blk1"",""blk2"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1,2019-07-24_14h22.04.602,corsi,3.1.3,60
"[0.378947389092802,0.03102494623522349,0.3479225931405381,-0.3301938280834706,-0.2570637007169116,0.31800555992985036]","[0.026315782415239436,-0.29722999640614145,0.37423822527281797,-0.04570637932279434,-0.0423822795502697,-0.3127423943822734]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.9000000000000021,1.5670000000000002,2.1850000000000023,2.7170000000000023,3.2840000000000025,3.767000000000003]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1,2019-07-24_14h22.04.602,corsi,3.1.3,60
"[-0.013296384065104984,-0.01108031755008856,-0.31800552987986325,-0.2759002660945512,0.24155126516178374]","[0.26565094912976744,-0.2772853301420106,-0.05457064538286003,0.29002769770219383,0.022991682642714797]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.6829999999999998,2.2340000000000018,2.75,3.1850000000000023,3.8830000000000027]","[""blk2"",""blk1"",""blk5"",""blk4"",""blk3""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1,2019-07-24_14h22.04.602,corsi,3.1.3,60
"[-0.32908586245494537,-0.3047091307897647,0.3235457262173914,0.05540167790040415,0.26371193031194795,-0.3024929966457653]","[0.3853185578479001,0.34764542709262086,-0.28060949754351827,-0.2916898301186004,-0.04127428010725299,-0.2407202326442396]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.7330000000000041,1.1000000000000014,1.733000000000004,2.200000000000003,2.7660000000000053,3.3659999999999997]","[""blk2"",""blk3"",""blk1"",""blk5"",""blk4""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1,2019-07-24_14h22.04.602,corsi,3.1.3,60
"[0.05318561138538773,0.018836648031616162,-0.2470913337703547,0.28254849568958756,0.2969529280371943]","[-0.3304709941313878,0.2955678639897349,0.037396114990321555,-0.24404433241676426,0.29889196376225957]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6159999999999997,1.0670000000000002,1.5,1.9990000000000023,2.466000000000001]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1,2019-07-24_14h22.04.602,corsi,3.1.3,60
