mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[-0.27740058195926287,0.3559650824442289,-0.33365664403491757,0.3511154219204656,-0.006789524733268671]","[-0.31474296799224055,-0.29922405431619786,-0.02376333656644035,0.02667313288069835,-0.021823472356935016]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.3599998950958252,2.9119999408721924,4.441999912261963,5.769000053405762,6.980999946594238]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,3205,2020-09-27_13h36.43.572,corsi,3.1.3,60
"[0.33074684772065954,-0.3084384093113482,0.0019398642095053346,-0.32104752667313285,-0.06401551891367604]","[-0.3137730358874879,0.04995150339476237,-0.06838021338506305,0.2390882638215325,-0.3312318137730359]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[2.6510000228881836,3.9570000171661377,4.88700008392334,5.995000123977661,7.444000005722046]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,3205,2020-09-27_13h36.43.572,corsi,3.1.3,60
"[-0.019398642095053348,-0.020368574199806012,0.2580019398642095,0.24733268671193018,0.25897187196896215]","[0.3195926285160039,0.07225994180407372,-0.07613967022308439,-0.25266731328806985,0.2943743937924345]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.2709999084472656,2.302999973297119,3.253999948501587,4.014999866485596,5.065000057220459]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,3205,2020-09-27_13h36.43.572,corsi,3.1.3,60
"[-0.04364694471387003,-0.2967992240543162,-0.26576139670223087,0.2938894277400582,0.2997090203685742]","[-0.010184287099903006,0.006304558680892337,-0.29728419010669255,-0.0518913676042677,-0.31668283220174587]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.441999912261963,2.419999837875366,3.310999870300293,4.542999982833862,5.565999984741211]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,3205,2020-09-27_13h36.43.572,corsi,3.1.3,60
"[0.09408341416100872,0.06498545101842872,0.2541222114451988,0.3084384093113482,-0.2376333656644035,-0.33462657613967023]","[-0.05868089233753637,-0.050921435499515035,-0.28758486905916586,0.2536372453928225,0.33026188166828324,-0.3157129000969932]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.7569999694824219,1.4660000801086426,2.3459999561309814,3.5910000801086426,4.739000082015991,5.99399995803833]","[""blk2"",""blk1"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,3205,2020-09-27_13h36.43.572,corsi,3.1.3,60
