mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[-0.32916666666666666,0.029166666666666667,-0.3375,-0.044444444444444446,0.3138888888888889]","[0.3388888888888889,-0.04722222222222222,0.029166666666666667,0.27361111111111114,-0.28888888888888886]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.9159998893737793,2.3489999771118164,2.8480000495910645,3.1659998893737793,3.681999921798706]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,,2020-10-06_07h27.03.328,corsi,3.1.3,60
"[-0.001388888888888889,0.33055555555555555,0.034722222222222224,-0.2986111111111111,-0.3416666666666667,0.325]","[0.26805555555555555,0.07222222222222222,-0.26666666666666666,0.24861111111111112,-0.030555555555555555,0.018055555555555554]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.6670000553131104,1.065999984741211,1.5329999923706055,2.116000175476074,2.3990001678466797,5.432000160217285]","[""blk1"",""blk3"",""blk4"",""blk5"",""blk2""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,,2020-10-06_07h27.03.328,corsi,3.1.3,60
"[-0.33055555555555555,0.3013888888888889,-0.31666666666666665,-0.3125,0.020833333333333332]","[0.30694444444444446,-0.001388888888888889,-0.2833333333333333,0.020833333333333332,-0.2569444444444444]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6659998893737793,1.249000072479248,1.815999984741211,2.2149999141693115,2.699000120162964]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,,2020-10-06_07h27.03.328,corsi,3.1.3,60
"[-0.001388888888888889,-0.2638888888888889,-0.32083333333333336,-0.04027777777777778,0.2986111111111111]","[0.3263888888888889,0.3486111111111111,-0.004166666666666667,-0.02361111111111111,-0.02638888888888889]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.5659999847412109,0.9829998016357422,1.4159998893737793,1.8659999370574951,2.2789998054504395]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,,2020-10-06_07h27.03.328,corsi,3.1.3,60
