mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[0.032407407407407406,-0.25462962962962965,0.006481481481481481,-0.36018518518518516,-0.024074074074074074]","[0.2657407407407407,0.3194444444444444,0.030555555555555555,-0.3055555555555556,-0.27314814814814814]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.4140000343322754,0.8459999561309814,1.4190001487731934,1.9140000343322754,2.240000009536743]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,,2020-10-06_21h54.24.313,corsi,3.1.3,60
"[0.262037037037037,0.05092592592592592,-0.012037037037037037,0.013888888888888888,0.027777777777777776,0.2796296296296296]","[0.019444444444444445,0.25925925925925924,0.008333333333333333,-0.2037037037037037,-0.28703703703703703,0.33240740740740743]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.30099987983703613,0.6669998168945312,1.0429999828338623,1.3320000171661377,1.6329998970031738,1.9659998416900635]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,,2020-10-06_21h54.24.313,corsi,3.1.3,60
"[0.3333333333333333,0.07037037037037037,0.040740740740740744,-0.26666666666666666,0.2712962962962963]","[0.04722222222222222,0.24166666666666667,-0.37222222222222223,0.23148148148148148,0.29074074074074074]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.26599979400634766,0.7659997940063477,1.3659999370574951,1.9659998416900635,2.4839999675750732]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,,2020-10-06_21h54.24.313,corsi,3.1.3,60
"[-0.03425925925925926,-0.28888888888888886,-0.3351851851851852,0.24814814814814815,-0.10740740740740741,-0.024074074074074074,0.2851851851851852,0.2898148148148148]","[0.30185185185185187,0.275,0.26296296296296295,0.05092592592592592,-0.06018518518518518,-0.041666666666666664,0.35462962962962963,0.3037037037037037]","[1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[0.5079998970031738,1.4259998798370361,1.8479998111724854,2.4149999618530273,2.7319998741149902,2.992999792098999,3.380999803543091,3.614999771118164]","[""blk1"",""blk3"",""blk4"",""blk5"",""blk2""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,,2020-10-06_21h54.24.313,corsi,3.1.3,60
"[-0.04722222222222222,-0.2657407407407407,-0.10925925925925926,-0.075,-0.28055555555555556,0.26296296296296295,0.03333333333333333,0.075]","[0.25462962962962965,0.34444444444444444,0.05,0.017592592592592594,0.002777777777777778,0.03425925925925926,0.41574074074074074,0.3398148148148148]","[1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[2.631999969482422,3.7320001125335693,4.013000011444092,4.332000017166138,4.583000183105469,5.1540000438690186,5.398000001907349,5.674000024795532]","[""blk2"",""blk3"",""blk5"",""blk1"",""blk4""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,,2020-10-06_21h54.24.313,corsi,3.1.3,60
