mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[-0.018229166666666668,0.045572916666666664,0.3450520833333333,0.2630208333333333,-0.31640625]","[0.2682291666666667,-0.2747395833333333,0.2799479166666667,0.032552083333333336,-0.2825520833333333]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.002000093460083,2.7850000858306885,3.7330000400543213,4.252000093460083,5.239000082015991]","[""blk1"",""blk2"",""blk4"",""blk3"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,3899,2020-09-27_20h51.52.557,corsi,3.1.3,60
"[0.3489583333333333,0.0234375,0.3098958333333333,-0.29296875,-0.2825520833333333]","[0.014322916666666666,-0.3541666666666667,-0.2864583333333333,-0.03125,-0.2994791666666667]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.9779999256134033,1.5999999046325684,2.066999912261963,2.8499999046325684,3.381999969482422]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,3899,2020-09-27_20h51.52.557,corsi,3.1.3,60
"[0.005208333333333333,0.2721354166666667,-0.23958333333333334,0.2643229166666667,-0.00390625]","[0.026041666666666668,-0.009114583333333334,0.03125,0.3098958333333333,-0.3424479166666667]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.49899983406066895,1.000999927520752,1.5160000324249268,2.2330000400543213,2.991999864578247]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,3899,2020-09-27_20h51.52.557,corsi,3.1.3,60
"[0.026041666666666668,0.3411458333333333,0.06380208333333333,0.3138020833333333,-0.2669270833333333]","[-0.3125,-0.009114583333333334,0.2981770833333333,-0.3151041666666667,-0.2981770833333333]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.16700005531311035,0.6860001087188721,1.752000093460083,2.450000047683716,3.133000135421753]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,3899,2020-09-27_20h51.52.557,corsi,3.1.3,60
"[-0.024739583333333332,-0.2799479166666667,-0.265625,-0.08072916666666667,0.3151041666666667]","[-0.2708333333333333,-0.2708333333333333,0.28125,0.265625,-0.00390625]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.33099985122680664,0.8149998188018799,1.563999891281128,1.9479999542236328,2.5969998836517334]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,3899,2020-09-27_20h51.52.557,corsi,3.1.3,60
