mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[-0.2903645833333333,0.014322916666666666,0.053385416666666664,-0.3333333333333333,-0.24609375,0.3111979166666667]","[-0.24479166666666666,0.3033854166666667,-0.06380208333333333,-0.041666666666666664,0.0078125,0.3020833333333333]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[5.83299994468689,6.878999948501587,7.563999891281128,8.16100001335144,9.709999799728394,10.531999826431274]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1987,2020-09-24_16h34.06.829,corsi,3.1.3,60
"[0.3606770833333333,-0.3046875,0.2916666666666667,-0.037760416666666664,-0.005208333333333333,-0.2421875]","[0.24479166666666666,0.24739583333333334,-0.3880208333333333,-0.24348958333333334,-0.2421875,-0.033854166666666664]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.6330001354217529,1.317000150680542,2.3980000019073486,3.0329999923706055,3.741000175476074,4.3470001220703125]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1987,2020-09-24_16h34.06.829,corsi,3.1.3,60
"[-0.2955729166666667,-0.28515625,-0.3580729166666667,0.048177083333333336,0.00390625]","[0.328125,0.037760416666666664,-0.2760416666666667,0.24479166666666666,0.0078125]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.0980000495910645,1.8040001392364502,3.1519999504089355,4.617000102996826,5.203000068664551]","[""blk1"",""blk2"",""blk4"",""blk3"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1987,2020-09-24_16h34.06.829,corsi,3.1.3,60
"[0.34375,-0.020833333333333332,-0.2630208333333333,-0.01953125,-0.24088541666666666]","[-0.037760416666666664,-0.3190104166666667,-0.2838541666666667,0.3151041666666667,-0.018229166666666668]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.4030001163482666,1.065000057220459,1.75,2.681999921798706,9.875]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1987,2020-09-24_16h34.06.829,corsi,3.1.3,60
"[-0.2721354166666667,0.08723958333333333,0.3098958333333333,-0.2864583333333333,-0.33203125]","[-0.22526041666666666,-0.0390625,-0.30078125,-0.00390625,0.24609375]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.750999927520752,2.884000062942505,4.2820000648498535,5.730000019073486,7.463000059127808]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1987,2020-09-24_16h34.06.829,corsi,3.1.3,60
