mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[-0.055989583333333336,0.28515625,0.040364583333333336,-0.3125,0.016927083333333332]","[0.015625,-0.0013020833333333333,-0.33984375,-0.3111979166666667,0.2916666666666667]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[29.002000093460083,30.600000143051147,31.56500005722046,32.498000144958496,33.730000019073486]","[""blk1"",""blk3"",""blk4"",""blk2"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,Yo,2020-09-26_16h40.40.440,corsi,3.1.3,60
"[-0.23828125,0.2838541666666667,-0.24479166666666666,-0.045572916666666664,0.3033854166666667]","[0.26171875,-0.0234375,-0.3190104166666667,0.3190104166666667,0.2825520833333333]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.5789999961853027,2.127000093460083,3.2090001106262207,4.341000080108643,6.106000185012817]","[""blk1"",""blk2"",""blk4"",""blk3"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,Yo,2020-09-26_16h40.40.440,corsi,3.1.3,60
"[0.3046875,-0.3033854166666667,0.3307291666666667,0.24348958333333334,0.057291666666666664]","[-0.24609375,-0.3307291666666667,-0.048177083333333336,0.3177083333333333,0.265625]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.5319998264312744,1.5139999389648438,2.678999900817871,3.6449999809265137,4.427000045776367]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,Yo,2020-09-26_16h40.40.440,corsi,3.1.3,60
"[0.3125,-0.2994791666666667,-0.046875,0.2526041666666667,-0.032552083333333336]","[-0.016927083333333332,0.2552083333333333,-0.06510416666666667,0.23046875,0.22005208333333334]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.7819998264312744,1.9639999866485596,3.2789998054504395,4.194000005722046,4.944000005722046]","[""blk1"",""blk2"",""blk4"",""blk3"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,Yo,2020-09-26_16h40.40.440,corsi,3.1.3,60
