mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[-0.002540922619047619,0.2796205357142857,0.0004873511904761905,0.0004873511904761905,0.3039136904761905]","[-0.34337425595238097,0.328266369047619,0.2745721726190476,-0.03453125,-0.26483630952380954]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.8999998569488525,3.134000062942505,4.016999959945679,4.533999919891357,5.6499998569488525]","[""blk1"",""blk4"",""blk2"",""blk5"",""blk3""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,01,2020-04-04_23h04.00.294,corsi,3.1.3,60
"[0.26110863095238096,0.012280505952380952,-0.24978050595238097,-0.2674479166666667,0.3158035714285714]","[-0.26232886904761904,0.30903273809523807,-0.3406845238095238,0.005368303571428572,0.24467633928571428]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6989998817443848,1.4489998817443848,2.2170000076293945,2.8999998569488525,3.632999897003174]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,01,2020-04-04_23h04.00.294,corsi,3.1.3,60
"[-0.22388392857142858,-0.30936383928571426,0.01152157738095238,0.29265252976190476,0.05777901785714286]","[0.2637760416666667,-0.05223958333333333,0.2585044642857143,0.30415550595238094,-0.3537686011904762]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6500000953674316,1.1340000629425049,1.6160001754760742,2.1000001430511475,3.0329999923706055]","[""blk1"",""blk3"",""blk2"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,01,2020-04-04_23h04.00.294,corsi,3.1.3,60
"[0.015967261904761904,0.3165625,-0.02627232142857143,-0.37559895833333334,0.3167447916666667]","[-0.2755282738095238,0.35998511904761904,0.25924107142857145,-0.32159970238095237,-0.334765625]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.4830000400543213,1.3499999046325684,2.5329999923706055,3.315000057220459,4.020999908447266]","[""blk1"",""blk2"",""blk4"",""blk3"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,01,2020-04-04_23h04.00.294,corsi,3.1.3,60
"[0.30145833333333333,0.31050223214285716,0.3077752976190476,0.06146949404761905,-0.02214285714285714,0.2999144345238095]","[-0.02122767857142857,0.3183221726190476,-0.31449776785714284,-0.26696056547619046,0.27796875,-0.2254575892857143]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.1659998893737793,1.0169999599456787,1.565999984741211,2.049999952316284,3.1669998168945312,3.9169998168945312]","[""blk1"",""blk2"",""blk4"",""blk5"",""blk3""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,01,2020-04-04_23h04.00.294,corsi,3.1.3,60
