mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[0.2942165798611111,0.04089988425925926,0.01781322337962963,0.3390480324074074,0.004108796296296296]","[0.3050130208333333,-0.3481987847222222,0.32790436921296295,-0.0060257523148148145,-0.027408854166666666]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.4010000228881836,1.117999792098999,1.9010000228881836,2.5849997997283936,3.1019999980926514]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1,2020-04-01_15h20.47.657,corsi,3.1.3,60
"[-0.17970920138888888,-0.23265335648148147,0.018384693287037037,0.022323495370370372,-0.012717013888888889,-0.012717013888888889,-0.012717013888888889,0.24254557291666667]","[-0.028374565972222224,-0.017494936342592592,0.01416015625,0.23907335069444444,-0.396361400462963,-0.338990162037037,0.01300998263888889,-0.2949978298611111]","[1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[0.5160000324249268,0.9010000228881836,1.2339999675750732,1.9010000228881836,2.4509999752044678,2.802999973297119,3.2019999027252197,3.751999855041504]","[""blk1"",""blk3"",""blk2"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1,2020-04-01_15h20.47.657,corsi,3.1.3,60
"[0.25028211805555556,-0.00503833912037037,0.28953269675925924,0.28953269675925924,-0.007581018518518518]","[0.23793041087962963,0.2432761863425926,-0.23501880787037038,0.020779079861111112,-0.03587962962962963]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.21799993515014648,0.7019999027252197,1.3899998664855957,1.7739999294281006,2.2749998569488525]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1,2020-04-01_15h20.47.657,corsi,3.1.3,60
"[-0.0008627300613496933,-0.2689401201431493,-0.2831911426380368,0.2875766871165644,-0.33912880240286297]","[0.25815200025562374,0.29328428553169733,0.066637908997955,-0.015193634969325154,-0.28786426380368096]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.5690000057220459,1.0180001258850098,1.3700001239776611,2.0360000133514404,3.052999973297119]","[""blk2"",""blk1"",""blk5"",""blk4"",""blk3""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1,2020-04-01_15h20.47.657,corsi,3.1.3,60
"[0.32062404141104295,-0.03364247827198364,0.03992922418200409,-0.2842415963701431,0.3726554511758691,0.3538830841002045]","[0.3528885480572597,0.3532120718302659,0.3089132796523517,-0.26834499616564417,0.048780195552147236,-0.26812132540899797]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.13299989700317383,0.5,0.9669997692108154,1.7019999027252197,2.384999990463257,2.9699997901916504]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,1,2020-04-01_15h20.47.657,corsi,3.1.3,60
