mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[-0.3059895833333333,0.23567708333333334,0.3033854166666667,-0.33203125,0.2825520833333333]","[0.2591145833333333,0.24348958333333334,-0.022135416666666668,-0.24739583333333334,-0.3216145833333333]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.3640000820159912,5.647000074386597,8.546000003814697,9.614000082015991,10.630000114440918]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,2219,2020-09-21_09h41.27.999,corsi,3.1.3,60
"[-0.2526041666666667,0.045572916666666664,0.046875,0.3450520833333333,0.3307291666666667]","[-0.3502604166666667,0.07552083333333333,0.33984375,-0.2552083333333333,0.2747395833333333]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6490001678466797,1.6010000705718994,2.3450000286102295,3.434000015258789,5.14900016784668]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,2219,2020-09-21_09h41.27.999,corsi,3.1.3,60
"[0.2513020833333333,-0.3151041666666667,0.3671875,0.02734375,0.26953125]","[0.059895833333333336,0.3567708333333333,-0.31640625,0.3385416666666667,0.3450520833333333]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6540000438690186,1.5169999599456787,2.432999849319458,3.4179999828338623,4.178999900817871]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,2219,2020-09-21_09h41.27.999,corsi,3.1.3,60
"[-0.061197916666666664,-0.014322916666666666,-0.30078125,-0.2578125,0.26171875,0.3111979166666667]","[-0.3033854166666667,-0.3033854166666667,0.3229166666666667,-0.2552083333333333,0.26953125,-0.2708333333333333]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.935999870300293,1.7999999523162842,2.682999849319458,3.616999864578247,4.5,5.4679999351501465]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,2219,2020-09-21_09h41.27.999,corsi,3.1.3,60
"[-0.2955729166666667,0.2747395833333333,0.018229166666666668,0.328125,-0.3424479166666667]","[0,0.026041666666666668,-0.3098958333333333,-0.2734375,-0.2721354166666667]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.932999849319458,1.7999999523162842,2.6999998092651367,3.5169999599456787,4.416999816894531]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,2219,2020-09-21_09h41.27.999,corsi,3.1.3,60
