mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,sequence,blockDuration,session,participant,date,expName,psychopyVersion,frameRate
"[-0.29074074074074074,-0.023148148148148147,0.24722222222222223,0.013888888888888888,-0.017592592592592594]","[0.2712962962962963,-0.2972222222222222,0.040740740740740744,0.35,-0.03425925925925926]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.945000171661377,3.1600000858306885,4.2240002155303955,4.9730000495910645,6.176000118255615]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,3205,2020-09-27_13h56.18.413,corsi,3.1.3,60
"[-0.32314814814814813,0.26481481481481484,-0.30648148148148147,0.29907407407407405,0.009259259259259259]","[0.2935185185185185,-0.011111111111111112,-0.3333333333333333,-0.3287037037037037,-0.2972222222222222]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.4060001373291016,2.633000135421753,4.0290000438690186,5.196000099182129,6.198000192642212]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,3205,2020-09-27_13h56.18.413,corsi,3.1.3,60
"[-0.2916666666666667,-0.2916666666666667,-0.024074074074074074,0.23333333333333334,0.3296296296296296]","[-0.012037037037037037,0.3148148148148148,0.2972222222222222,0.04259259259259259,0.31666666666666665]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.5419998168945312,2.3910000324249268,3.422999858856201,4.398999929428101,5.191999912261963]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,3205,2020-09-27_13h56.18.413,corsi,3.1.3,60
"[-0.2953703703703704,0.3333333333333333,-0.011111111111111112,-0.2574074074074074,-0.2537037037037037]","[-0.2740740740740741,0.2490740740740741,-0.29074074074074074,-0.040740740740740744,0.28888888888888886]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.5909998416900635,2.556999921798706,3.985999822616577,4.763000011444092,5.70799994468689]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,3205,2020-09-27_13h56.18.413,corsi,3.1.3,60
"[-0.06851851851851852,-0.046296296296296294,0.35185185185185186,0.03425925925925926,-0.31851851851851853]","[-0.025925925925925925,-0.23981481481481481,-0.31203703703703706,0.24537037037037038,0.026851851851851852]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[2.130999803543091,2.9049999713897705,4.163999795913696,5.56499981880188,6.480000019073486]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",5,0,5,0,1,4,"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,001,3205,2020-09-27_13h56.18.413,corsi,3.1.3,60
